"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"374","LCLC-97TM1","LCLC-97TM1","LCLC-97TM1","","","","LCLC-97TM1","LCLC97TM1","LCLC-97TM1","LCLC-97TM1","LCLC-97TM1","","LCLC97TM1","lung","lung","","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung"
"375","LK-2","LK-2","LK-2","","","","","","LK-2","LK-2","LK-2","","LK2","lung","lung","","","","","","lung","lung","lung ","","lung","lung","lung"
"376","LN-405","LN-405","","","","","","","LN-405","","LN-405","",NA,"central_nervous_system","","","","","","","Brain","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"377","LNCaP-Clone-FGC","LNCaP-Clone-FGC","LNCaP clone FGC","LNCAP","","","","","LNCaP-Clone-FGC","LNCaP_clone_FGC","LNCaP-Clone-FGC","","LNCAPCLONEFGC","prostate","prostate","prostate","","","","","prostate","prostate","urogenital_system ","","prostate","prostate","prostate"
"378","LOUCY","LOUCY","Loucy","","","","","","LOUCY","Loucy","LOUCY","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"379","LoVo","LoVo","LoVo","","","","LoVo","LOVO","LoVo","LoVo","LoVo","","LOVO","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"380","LOXIMVI","LOXIMVI","LOX IMVI","LOXIMVI","ME:LOXIMVI","","LOX-IMVI","","LOXIMVI","LOX_IMVI","LOXIMVI","","LOXIMVI","haematopoietic_and_lymphoid_tissue","skin","skin","ME","","Skin","","Skin","haematopoietic_and_lymphoid_tissue","skin ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","skin"
"381","LP-1","LP-1","LP-1","","","","LP-1","LP1","LP-1","LP-1","LP-1","","LP1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"382","LS-1034","LS-1034","LS1034","LS1034","","","LS1034","","LS-1034","LS1034","LS-1034","","LS1034","large_intestine","large_intestine","colon","","","Cecum","","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"383","LS-123","LS-123","LS123","","","","","LS123","LS-123","LS123","LS-123","","LS123","large_intestine","large_intestine","","","","","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"384","LS-174T","LS-174T","","LS174T","","","LS 174T","","","","","",NA,"large_intestine","","colon","","","Colon","","","","","","large_intestine","large_intestine",NA
"385","LS-411N","LS-411N","LS411N","","","","","LS411N","LS-411N","LS411N","LS-411N","","LS411N","large_intestine","large_intestine","","","","","LARGE_INTESTINE","Intestin","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"386","LS-513","LS-513","LS513","","","","","LS513","LS-513","LS513","LS-513","","LS513","large_intestine","large_intestine","","","","","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"387","LU-134-A","LU-134-A","","","","","","","LU-134-A","","LU-134-A","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"388","LU-135","LU-135","","","","","","","LU-135","","LU-135","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"389","LU-139","LU-139","","","","","","","LU-139","","LU-139","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"390","LU-165","LU-165","","","","","","","LU-165","","LU-165","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"391","LU-65","LU-65","LU65","","","","","LU65","LU-65","LU65","LU-65","","LU65","lung","lung","","","","","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung"
"392","LU-99A","LU-99A","LU99","","","","","LU99","LU-99A","LU99","","","LU99","lung","lung","","","","","LUNG","Lung:NSCLC","lung","","","lung","lung","lung"
"393","LXF-289","LXF-289","LXF-289","","","","LXF-289","LXF289","LXF-289","LXF-289","LXF-289","","LXF289","lung","lung","","","","Lung","LUNG","Lung","lung","lung ","","lung","lung","lung"
"394","M059J","M059J","M059J","","","","M059J","","M059J","","M059J","",NA,"central_nervous_system","","","","","Brain","","central_nervous_system","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"395","M14","M14","","M14","ME:M14","","","","M14","","M14","",NA,"haematopoietic_and_lymphoid_tissue","","skin","ME","","","","Skin","","skin ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"396","Malme-3M","Malme-3M","Malme-3M","MALME3M","ME:MALME_3M","","","","","Malme-3M","","","MALME3M","haematopoietic_and_lymphoid_tissue","skin","skin","ME","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","skin"
"397","MC-1010","MC-1010","","","","","","","","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"398","MC116","MC116","MC116","MC116","","","MC116","MC116","MC116","MC116","MC116","","MC116","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"399","MC-CAR","MC-CAR","","MCCAR","","","","","MC-CAR","","","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"400","MCF7","MCF7","MCF7","MCF7","BR:MCF7","MCF7","MCF-7","MCF7","MCF7","MCF7","MCF7","mcf7","MCF7","breast","breast","breast","BR","breast","Breast","BREAST","Breast","breast","breast ","breast","breast","breast","breast"
"401","MC-IXC","MC-IXC","","MCIXC","","","","","","","MC-IXC","",NA,"autonomic_ganglia","","central_nervous_system","","","","","","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA
"402","MDA-MB-134-VI","MDA-MB-134-VI","MDA-MB-134-VI","","","MDAMB134VI","MDA-MB-134-VI","","MDA-MB-134-VI","MDA-MB-134-VI","","mdamb134vi",NA,"breast","breast","","","breast","Breast","","breast","breast","","breast","breast","breast",NA
"403","MDA-MB-157","MDA-MB-157","MDA-MB-157","","","MDAMB157","MDA-MB-157","","MDA-MB-157","MDA-MB-157","MDA-MB-157","mdamb157","MDAMB157","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast"
"404","MDA-MB-175-VII","MDA-MB-175-VII","MDA-MB-175-VII","MDAMB175VII","","MDAMB175VII","MDA-MB-175-VII","","","MDA-MB-175-VII","MDA-MB-175-VII","mdamb175vii",NA,"breast","breast","breast","","breast","Breast","","","breast","breast ","breast","breast","breast",NA
"405","MDA-MB-231","MDA-MB-231","MDA-MB-231","MDAMB231","BR:MDA_MB_231","MDAMB231","MDA-MB-231","","MDA-MB-231","MDA-MB-231","MDA-MB-231","mdamb231","MDAMB231","breast","breast","breast","BR","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast"
"406","MDA-MB-361","MDA-MB-361","MDA-MB-361","","","MDAMB361","MDA-MB-361","","MDA-MB-361","MDA-MB-361","MDA-MB-361","mdamb361","MDAMB361","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast"
"407","MDA-MB-415","MDA-MB-415","MDA-MB-415","","","MDAMB415","MDA-MB-415","","MDA-MB-415","MDA-MB-415","MDA-MB-415","mdamb415","MDAMB415","breast","breast","","","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast"
"408","MDA-MB-435","MDA-MB-435","MDA-MB-435S","MDAMB435","ME:MDA_MB_435","","MDA-MB-435","","","MDA-MB-435S","","","MDAMB435S","haematopoietic_and_lymphoid_tissue","skin","skin","ME","","Skin","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","skin"
"409","MDA-MB-453","MDA-MB-453","MDA-MB-453","MDAMB453","","MDAMB453","MDA-MB-453","","MDA-MB-453","MDA-MB-453","MDA-MB-453","mdamb453","MDAMB453","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast"
"410","MDA-MB-468","MDA-MB-468","MDA-MB-468","MDAMB468","","MDAMB468","MDA-MB-468","","MDA-MB-468","MDA-MB-468","MDA-MB-468","mdamb468","MDAMB468","breast","breast","breast","","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast"
"411","ME-180","ME-180","","","","","ME-180","","ME-180","","ME-180","",NA,"cervix","","","","","Cervix","","Cervix","","urogenital_system ","","cervix","cervix",NA
"412","MEG-01","MEG-01","MEG-01","MEG01","","","","","MEG-01","MEG-01","MEG-01","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"413","MEL-HO","MEL-HO","MEL-HO","","","","MEL-HO","","MEL-HO","MEL-HO","MEL-HO","","MELHO","skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin"
"414","MEL-JUSO","MEL-JUSO","MEL-JUSO","","","","","","MEL-JUSO","MEL-JUSO","MEL-JUSO","","MELJUSO","skin","skin","","","","","","Skin","skin","skin ","","skin","skin","skin"
"415","MES-SA","MES-SA","MES-SA","MESSA","","","","","MES-SA","MES-SA","MES-SA","","MESSA","endometrium","soft_tissue","uterus","","","","","Uterus","endometrium","urogenital_system ","","endometrium","endometrium","soft_tissue"
"416","Mewo","Mewo","MeWo","","","","MeWo","","Mewo","MeWo","Mewo","","MEWO","skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin"
"417","MFE-280","MFE-280","MFE-280","","","","","","MFE-280","MFE-280","MFE-280","",NA,"endometrium","endometrium","","","","","","Uterus","endometrium","urogenital_system ","","endometrium","endometrium",NA
"418","MFE-296","MFE-296","MFE-296","","","","","","MFE-296","MFE-296","","","MFE296","endometrium","endometrium","","","","","","endometrium","endometrium","","","endometrium","endometrium","endometrium"
"419","MFH-ino","MFH-ino","","","","","","","MFH-ino","","MFH-ino","",NA,"soft_tissue","","","","","","","Misc","","soft_tissue ","","soft_tissue","soft_tissue",NA
"420","MFM-223","MFM-223","","","","MFM223","MFM-223","","MFM-223","","MFM-223","mfm223",NA,"breast","","","","breast","Breast","","Breast","","breast ","breast","breast","breast",NA
"421","MG-63","MG-63","MG-63","MG63","","","MG-63","","MG-63","MG-63","MG-63","","MG63","bone","bone","bone","","","Bone","","Bone","bone","bone ","","bone","bone","bone"
"422","MHH-CALL-2","MHH-CALL-2","MHH-CALL-2","","","","","","MHH-CALL-2","MHH-CALL-2","MHH-CALL-2","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"423","MHH-CALL-4","MHH-CALL-4","MHH-CALL-4","","","","","","MHH-CALL-4","MHH-CALL-4","","","MHHCALL4","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"424","MHH-ES-1","MHH-ES-1","MHH-ES-1","","","","MHH-ES-1","","","MHH-ES-1","MHH-ES-1","","MHHES1","bone","bone","","","","Bone","","","bone","bone ","","bone","bone","bone"
"425","MHH-NB-11","MHH-NB-11","MHH-NB-11","","","","MHH-NB-11","","MHH-NB-11","MHH-NB-11","MHH-NB-11","","MHHNB11","autonomic_ganglia","autonomic_ganglia","","","","Brain","","autonomic_ganglia","autonomic_ganglia","nervous_system ","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia"
"426","MHH-PREB-1","MHH-PREB-1","","MHHPREB1","","","MHH-PREB-1","","MHH-PREB-1","","MHH-PREB-1","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","Lymph Node","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"427","MIA-PaCa-2","MIA-PaCa-2","MIA PaCa-2","MIAPACA2","","","MIA Paca-2","","MIA-PaCa-2","MIA_PaCa-2","MIA-PaCa-2","","MIAPACA2","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"428","MJ","MJ","MJ","MJ","","","","","","MJ","","","MJ","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"429","MKN1","MKN1","MKN1","","","","MKN-1","","MKN1","MKN1","MKN1","","MKN1","stomach","stomach","","","","Stomach","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"430","MKN28","MKN28","","","","","","","MKN28","","MKN28","",NA,"stomach","","","","","","","Stomach","","digestive_system ","","stomach","stomach",NA
"431","MKN45","MKN45","MKN-45","","","","MKN-45","","MKN45","MKN-45","MKN45","","MKN45","stomach","stomach","","","","Stomach","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"432","MKN7","MKN7","MKN7","","","","MKN-7","MKN7","MKN7","MKN7","MKN7","","MKN7","stomach","stomach","","","","Stomach","STOMACH","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"433","ML-2","ML-2","","ML2","","","ML-2","","ML-2","","ML-2","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","Bone Marrow","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"434","MLMA","MLMA","","","","","","","MLMA","","MLMA","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"435","MMAC-SF","MMAC-SF","","","","","","","MMAC-SF","","MMAC-SF","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
"436","MN-60","MN-60","","","","","","","MN-60","","MN-60","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"437","MOG-G-CCM","MOG-G-CCM","MOG-G-CCM","","","","","","MOG-G-CCM","","MOG-G-CCM","",NA,"central_nervous_system","central_nervous_system","","","","","","central_nervous_system","","","","central_nervous_system","central_nervous_system",NA
"438","MOG-G-UVW","MOG-G-UVW","MOG-G-UVW","","","","","","MOG-G-UVW","","MOG-G-UVW","",NA,"central_nervous_system","central_nervous_system","","","","","","central_nervous_system","","","","central_nervous_system","central_nervous_system",NA
"439","MOLT-13","MOLT-13","MOLT-13","","","","","","MOLT-13","MOLT-13","","","MOLT13","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"440","MOLT-16","MOLT-16","MOLT-16","MOLT16","","","","","MOLT-16","MOLT-16","MOLT-16","","MOLT16","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"441","MOLT-4","MOLT-4","MOLT-4","MOLT4","LE:MOLT_4","","","","MOLT-4","","MOLT-4","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","LE","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"442","MONO-MAC-6","MONO-MAC-6","MONO-MAC-6","","","","","","MONO-MAC-6","MONO-MAC-6","MONO-MAC-6","","MONOMAC6","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"443","Mo-T","Mo-T","","","","","","","Mo-T","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"444","MPP-89","MPP-89","MPP 89","","","","","","MPP-89","MPP_89","MPP-89","","MPP89","pleura","pleura","","","","","","Lung","pleura","lung ","","pleura","pleura","pleura"
"445","MRK-nu-1","MRK-nu-1","","","","","","","MRK-nu-1","","MRK-nu-1","",NA,"breast","","","","","","","Breast","","breast ","","breast","breast",NA
"446","MS-1","MS-1","","","","","","","MS-1","","","",NA,"lung","","","","","","","Lung","","","","lung","lung",NA
"447","MSTO-211H","MSTO-211H","MSTO-211H","","","","","MSTO211H","MSTO-211H","MSTO-211H","MSTO-211H","","MSTO211H","pleura","pleura","","","","","PLEURA","pleura","pleura","lung ","","pleura","pleura","pleura"
"448","MUTZ-1","MUTZ-1","","","","","","","","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"449","MV-4-11","MV-4-11","MV-4-11","MV411","","","MV-4-11","","MV-4-11","MV-4-11","MV-4-11","","MV411","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"450","MZ1-PC","MZ1-PC","","","","","","","MZ1-PC","","MZ1-PC","",NA,"pancreas","","","","","","","Pancreas","","pancreas ","","pancreas","pancreas",NA
"451","MZ2-MEL","MZ2-MEL","","","","","","","MZ2-MEL","","MZ2-MEL","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
