"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"816","CL-40","","CL-40","","","","CL-40","CL40","CL-40","CL-40","CL-40","",NA,"","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","","","","large_intestine",NA
"817","CMK-11-5","","CMK-11-5","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"818","CMK-86","","CMK-86","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"819","COLO 201","","COLO 201","COLO201","","","COLO 201","","","COLO_201","","","COLO201","","large_intestine","colon","","","Colon","","","large_intestine","","","","large_intestine","large_intestine"
"820","COLO 775","","COLO 775","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue",NA
"821","COLO-677","","COLO-677","","","","","","","","","",NA,"","haematopoietic_and_lymphoid_tissue","","","","","","","","","","lung","lung",NA
"822","COLO-699","","COLO-699","","","","COLO 699","COLO699","","","","","COLO699","","","","","","Lung","LUNG","","","","","lung","lung",""
"823","COLO-704","","COLO-704","COLO704","","","COLO-704","","","","","",NA,"","ovary","ovary","","","Ovary","","","","","","ovary","ovary",NA
"824","COLO-783","","COLO-783","","","","COLO-783","","COLO-783","COLO-783","COLO-783","",NA,"","skin","","","","Skin","","Skin","skin","","","","skin",NA
"825","COLO-818","","COLO-818","","","","COLO-818","","","","","",NA,"","skin","","","","Skin","","","","","","","skin",NA
"826","COLO-849","","COLO-849","","","","COLO 849","","","","","",NA,"","skin","","","","Skin","","","","","","skin","skin",NA
"827","COR-L24","","COR-L24","","","","","","","COR-L24","","",NA,"","lung","","","","","","","lung","","","","lung",NA
"828","COR-L311","","COR-L311","","","","","","COR-L311","COR-L311","COR-L311","",NA,"","lung","","","","","","Lung","lung","","","lung","lung",NA
"829","COR-L47","","COR-L47","","","","COR-L47","","","COR-L47","","","CORL47","","lung","","","","Lung","","","lung","","","lung","lung","lung"
"830","COR-L95","","COR-L95","","","","","","COR-L95","COR-L95","COR-L95","","CORL95","","lung","","","","","","Lung","lung","","","","lung","lung"
"831","COV318","","COV318","","","","COV318","COV318","","COV318","","",NA,"","ovary","","","","Ovary","OVARY","","ovary","","","","ovary",NA
"832","COV362","","COV362","","","","COV362","COV362","","COV362","","","COV362","","ovary","","","","Ovary","OVARY","","ovary","","","","ovary","ovary"
"833","COV434","","COV434","","","","COV434","COV434","","COV434","","","COV434","","ovary","","","","Ovary","OVARY","","ovary","","","ovary","ovary","ovary"
"834","COV504","","COV504","","","","COV504","","","","","",NA,"","ovary","","","","Ovary","","","","","","","ovary",NA
"835","COV644","","COV644","","","","COV644","COV644","","COV644","","","COV644","","ovary","","","","Ovary","OVARY","","ovary","","","","ovary","ovary"
"836","D341 Med","","D341 Med","D341MED","","","","","","D341_Med","","",NA,"","central_nervous_system","brain","","","","","","central_nervous_system","","","","central_nervous_system",NA
"837","DAN-G","","DAN-G","","","","DAN-G","","DAN-G","DAN-G","DAN-G","","DANG","","pancreas","","","","Pancreas","","Pancreas","pancreas","","","pancreas","pancreas","pancreas"
"838","DFCI024","","DFCI024","","","","","","","","","",NA,"","lung","","","","","","","","","","lung","lung",NA
"839","DLD-1","","DLD-1","DLD1","","","DLD-1","DLD1","","","","","DLD1","","large_intestine","colon","","","Colon","LARGE_INTESTINE","","","","","large_intestine","large_intestine","large_intestine"
"840","DM-3","","DM-3","","","","","","","DM-3","","",NA,"","pleura","","","","","","","pleura","","","","pleura",NA
"841","DMS 454","","DMS 454","","","","DMS 454","","","DMS_454","","","DMS454","","lung","","","","Lung","","","lung","","","","lung","lung"
"842","DND-41","","DND-41","","","","","","DND-41","DND-41","","","DND41","","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"843","DOV13","","DOV13","","","","","","DOV13","","","","DOV13","","","","","","","","ovary","","","","","ovary",""
"844","EB1","","EB1","EB1","","","EB1","","","EB1","","","EB1","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"845","EBC-1","","EBC-1","","","","EBC-1","EBC1","EBC-1","EBC-1","EBC-1","","EBC1","","lung","","","","Lung","LUNG","Lung:NSCLC","lung","","","lung","lung","lung"
"846","EFM-192A","","EFM-192A","","","EFM192A","EFM-192A","","EFM-192A","EFM-192A","EFM-192A","efm192a","EFM192A","","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast","breast"
"847","EJM","","EJM","","","","EJM","EJM","EJM","EJM","EJM","","EJM","","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"848","EN","","EN","","","","","","EN","EN","EN","","EN","","endometrium","","","","","","Uterus","endometrium","","","endometrium","endometrium","endometrium"
"849","ES-2","","ES-2","ES2","","","ES-2","","ES-2","ES-2","ES-2","","ES2","","ovary","ovary","","","Ovary","","Ovary","ovary","","","ovary","ovary","ovary"
"850","EW8","","EW8","","","","","","","","","",NA,"","bone","","","","","","","","","","","bone",NA
"851","EWS502","","EWS502","","","","","","","","","",NA,"","bone","","","","","","","","","","","bone",NA
"852","F-36P","","F-36P","","","","","","","F-36P","","","F36P","","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"853","F5","","F5","","","","","","","","","",NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA
"854","FTC-238","","FTC-238","","","","","","","FTC-238","","","FTC238","","thyroid","","","","","","","thyroid","","","","thyroid","thyroid"
"855","FU-OV-1","","FU-OV-1","","","","","","FU-OV-1","FU-OV-1","FU-OV-1","","FUOV1","","ovary","","","","","","Ovary","ovary","","","ovary","ovary","ovary"
"856","FU97","","FU97","","","","FU97","FU97","FU97","FU97","","","FU97","","stomach","","","","Stomach","STOMACH","Stomach","stomach","","","stomach","stomach","stomach"
"857","G-292, clone A141B1","","G-292, clone A141B1","","","","","","G-292-Clone-A141B1","G-292,_clone_A141B1","G-292_Clone_A141B1","","G292CLONEA141B1","","bone","","","","","","Bone","bone","","","","bone","bone"
"858","GA-10","","GA-10","GA10","","","GA-10","","GA-10","GA-10","GA-10","","GA10","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"859","GLC-82","","GLC-82","","","","","","","","","",NA,"","","","","","","","","","","","lung","lung",NA
"860","GOS-3","","GOS-3","","","","","","","GOS-3","","","GOS3","","central_nervous_system","","","","","","","central_nervous_system","","","","central_nervous_system","central_nervous_system"
"861","GR-M","","GR-M","","","","GR-M","","","","","",NA,"","skin","","","","Skin","","","","","","","skin",NA
"862","GRANTA-519","","GRANTA-519","","","","GRANTA-519","","GRANTA-519","GRANTA-519","GRANTA-519","","GRANTA519","","haematopoietic_and_lymphoid_tissue","","","","Lymph Node","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"863","GSS","","GSS","","","","","","","GSS","","","GSS","","stomach","","","","","","","stomach","","","","stomach","stomach"
"864","GSU","","GSU","","","","","","","GSU","","","GSU","","stomach","","","","","","","stomach","","","","stomach","stomach"
"865","HARA","","HARA","","","","","HARA","HARA","HARA","HARA","","HARA","","lung","","","","","LUNG","Lung","breast","","","breast","breast","lung"
"866","HCC-1171","","HCC-1171","","","","HCC1171","","","HCC-1171","","","HCC1171","","lung","","","","Lung","","","lung","","","","lung","lung"
"867","HCC-1195","","HCC-1195","","","","","HCC1195","","HCC-1195","","","HCC1195","","lung","","","","","LUNG","","lung","","","","lung","lung"
"868","HCC-1359","","HCC-1359","","","","HCC1359","HCC1359","","HCC-1359","","",NA,"","lung","","","","Lung","LUNG","","lung","","","","lung",NA
"869","HCC-1438","","HCC-1438","","","","","","","HCC-1438","","","HCC1438","","lung","","","","","","","lung","","","","lung","lung"
"870","HCC-15","","HCC-15","","","","HCC-15","HCC15","HCC-15","HCC-15","HCC-15","","HCC15","","lung","","","","Lung","LUNG","Lung","lung","","","","lung","lung"
"871","HCC-1588","","HCC-1588","","","","","","","HCC-1588","","","HCC1588","","lung","","","","","","","lung","","","","lung","lung"
"872","HCC-1833","","HCC-1833","","","","","HCC1833","","HCC-1833","","","HCC1833","","lung","","","","","LUNG","","lung","","","","lung","lung"
"873","HCC-1897","","HCC-1897","","","","","","","","","",NA,"","lung","","","","","","","","","","","lung",NA
"874","HCC-2108","","HCC-2108","","","","","HCC2108","","HCC-2108","","","HCC2108","","lung","","","","","LUNG","","lung","","","","lung","lung"
"875","HCC-2279","","HCC-2279","","","","HCC2279","","","HCC-2279","","","HCC2279","","lung","","","","Lung","","","lung","","","","lung","lung"
"876","HCC-2814","","HCC-2814","","","","","","","","","",NA,"","lung","","","","","","","","","","","lung",NA
"877","HCC-33","","HCC-33","","","","HCC33","HCC33","","HCC-33","HCC-33","","HCC33","","lung","","","","Lung","LUNG","","lung","","","","lung","lung"
"878","HCC-366","","HCC-366","","","","HCC366","","HCC-366","HCC-366","HCC-366","","HCC366","","lung","","","","Lung","","Lung","lung","","","","lung","lung"
"879","HCC-44","","HCC-44","","","","HCC44","HCC44","HCC-44","HCC-44","HCC-44","","HCC44","","lung","","","","Lung","LUNG","Lung","lung","","","lung","lung","lung"
"880","HCC-56","","HCC-56","","","","","","HCC-56","HCC-56","HCC-56","","HCC56","","large_intestine","","","","","","Intestine","large_intestine","","","large_intestine","large_intestine","large_intestine"
"881","HCC-78","","HCC-78","","","","HCC78","HCC78","HCC-78","HCC-78","HCC-78","","HCC78","","lung","","","","Lung","LUNG","Lung:NSCLC","lung","","","","lung","lung"
"882","HCC-827-GR5","","HCC-827-GR5","","","","","","","","","",NA,"","lung","","","","","","","","","","","lung",NA
"883","HCC-95","","HCC-95","","","","","","","HCC-95","","","HCC95","","lung","","","","","","","lung","","","","lung","lung"
"884","HCC1428","","HCC1428","","","HCC1428","HCC1428","","HCC1428","HCC1428","HCC1428","hcc1428","HCC1428","","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast","breast"
"885","HCC1500","","HCC1500","","","","HCC1500","","HCC1500","HCC1500","HCC1500","hcc1500","HCC1500","","breast","","","","Breast","","Breast","breast","","breast","breast","breast","breast"
